img,label
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/OTHERS/Certificate_Of_Origin_395_page_1.png,0
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/COO/Certificate_Of_Origin_408_page_0_S_0.png,7
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/COO/Certificate_Of_Origin_408_page_0_S_1.png,7
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_176_9_S_0.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_176_9_S_1.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_873_page_8_S_0.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_873_page_8_S_1.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_873_page_8_S_2.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_873_page_8_S_3.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/PL/Packing_List_545_page_6.png,5
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/AWB/Airway_Bill_461_0.png,3
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/PL/Packing_List_395_page_2.png,5
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_641_page_0_S_0.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_641_page_0_S_1.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/COO/Certificate_Of_Origin_140_page_1.png,7
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_816_page_1_S_0.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_816_page_1_S_1.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/AWB/Airway_Bill_353_0.png,3
