pdf_name,image_name,image_path,result
44.pdf,44_80.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_80.jpeg,RFR HHC
44.pdf,44_81.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_81.jpeg,MDS
44.pdf,44_82.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_82.jpeg,MDS
44.pdf,44_83.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_83.jpeg,MDS
44.pdf,44_84.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_84.jpeg,MDS
44.pdf,44_85.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_85.jpeg,MDS
44.pdf,44_86.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_86.jpeg,MDS
44.pdf,44_87.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_87.jpeg,MDS
44.pdf,44_88.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_88.jpeg,MDS
44.pdf,44_89.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_89.jpeg,MDS
04.pdf,04_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_01.jpeg,RFR HHC
04.pdf,04_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_02.jpeg,Plan of Care (POC)
04.pdf,04_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_03.jpeg,RFR HHC
04.pdf,04_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_04.jpeg,RFR HHC
04.pdf,04_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_05.jpeg,RFR Facility
04.pdf,04_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_06.jpeg,RFR Facility
04.pdf,04_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_07.jpeg,BEA
04.pdf,04_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_08.jpeg,BEA
04.pdf,04_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_09.jpeg,BEA
04.pdf,04_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_10.jpeg,BEA
04.pdf,04_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_11.jpeg,BEA
04.pdf,04_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_12.jpeg,BEA
04.pdf,04_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_13.jpeg,BEA
04.pdf,04_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_14.jpeg,BEA
04.pdf,04_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_15.jpeg,BEA
04.pdf,04_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_16.jpeg,BEA
04.pdf,04_17.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_17.jpeg,BEA
04.pdf,04_18.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_18.jpeg,BEA
04.pdf,04_19.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_19.jpeg,BEA
04.pdf,04_20.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_20.jpeg,BEA
04.pdf,04_21.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_21.jpeg,BEA
04.pdf,04_22.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_22.jpeg,BEA
04.pdf,04_23.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_23.jpeg,BEA
04.pdf,04_24.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_24.jpeg,BEA
04.pdf,04_25.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_25.jpeg,BEA
04.pdf,04_26.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_26.jpeg,BEA
04.pdf,04_27.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/04/04_27.jpeg,BEA
47.pdf,47_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_01.jpeg,RFR HHC
47.pdf,47_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_02.jpeg,RFR Facility
47.pdf,47_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_03.jpeg,RFR HHC
47.pdf,47_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_04.jpeg,RFR Facility
47.pdf,47_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_05.jpeg,RFR HHC
47.pdf,47_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_06.jpeg,Medication Administration Screen Form
47.pdf,47_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_07.jpeg,Medication Administration Screen Form
47.pdf,47_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_08.jpeg,RFR HHC
47.pdf,47_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_09.jpeg,RFR HHC
47.pdf,47_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_10.jpeg,Cognitive Questionnaire MD
47.pdf,47_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_11.jpeg,RFR HHC
47.pdf,47_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_12.jpeg,Plan of Care (POC)
47.pdf,47_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_13.jpeg,RFR HHC
47.pdf,47_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_14.jpeg,RFR Facility
47.pdf,47_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_15.jpeg,RFR HHC
47.pdf,47_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_16.jpeg,RFR Facility
47.pdf,47_17.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_17.jpeg,RFR HHC
47.pdf,47_18.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_18.jpeg,Medication Administration Screen Form
47.pdf,47_19.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_19.jpeg,Medication Administration Screen Form
47.pdf,47_20.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_20.jpeg,RFR HHC
47.pdf,47_21.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_21.jpeg,RFR HHC
47.pdf,47_22.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_22.jpeg,Cognitive Questionnaire MD
47.pdf,47_23.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_23.jpeg,RFR HHC
47.pdf,47_24.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_24.jpeg,Plan of Care (POC)
47.pdf,47_25.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/47/47_25.jpeg,RFR HHC
39.pdf,39_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_01.jpeg,RFR Facility
39.pdf,39_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_02.jpeg,RFR Facility
39.pdf,39_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_03.jpeg,RFR HHC
39.pdf,39_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_04.jpeg,RFR Facility
39.pdf,39_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_05.jpeg,RFR HHC
39.pdf,39_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_06.jpeg,MDS
39.pdf,39_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_07.jpeg,MDS
39.pdf,39_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_08.jpeg,MDS
39.pdf,39_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_09.jpeg,MDS
39.pdf,39_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_10.jpeg,MDS
39.pdf,39_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_11.jpeg,MDS
39.pdf,39_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_12.jpeg,MDS
39.pdf,39_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_13.jpeg,Plan of Care (POC)
39.pdf,39_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_14.jpeg,MDS
39.pdf,39_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_15.jpeg,MDS
39.pdf,39_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_16.jpeg,MDS
39.pdf,39_17.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_17.jpeg,MDS
39.pdf,39_18.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_18.jpeg,MDS
39.pdf,39_19.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_19.jpeg,Plan of Care (POC)
39.pdf,39_20.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_20.jpeg,MDS
39.pdf,39_21.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_21.jpeg,MDS
39.pdf,39_22.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_22.jpeg,MDS
39.pdf,39_23.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_23.jpeg,MDS
39.pdf,39_24.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_24.jpeg,MDS
39.pdf,39_25.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_25.jpeg,MDS
39.pdf,39_26.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_26.jpeg,MDS
39.pdf,39_27.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_27.jpeg,Plan of Care (POC)
39.pdf,39_28.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_28.jpeg,Plan of Care (POC)
39.pdf,39_29.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_29.jpeg,Plan of Care (POC)
39.pdf,39_30.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_30.jpeg,MDS
39.pdf,39_31.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_31.jpeg,MDS
39.pdf,39_32.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_32.jpeg,MDS
39.pdf,39_33.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_33.jpeg,MDS
39.pdf,39_34.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_34.jpeg,RFR HHC
39.pdf,39_35.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_35.jpeg,MDS
39.pdf,39_36.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_36.jpeg,MDS
39.pdf,39_37.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_37.jpeg,MDS
39.pdf,39_38.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_38.jpeg,RFR HHC
39.pdf,39_39.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_39.jpeg,MDS
39.pdf,39_40.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_40.jpeg,Plan of Care (POC)
39.pdf,39_41.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/39/39_41.jpeg,MDS
