TEXT,LABELS,BOUNDING_BOXES,token_ids,tokenized_text,tokenized_text_label_ids,tokenized_text_label
POWDD14082012-003,S-purchase_order_no_and_agreement_ref_no,"[587, 287, 770, 301]",26189,pv,17,S-consinee_name
/,S-purchase_order_no_and_agreement_ref_no,"[770, 289, 776, 300]",2102,##t,-100,O
POWM0162,S-purchase_order_no_and_agreement_ref_no,"[776, 288, 874, 301]",1012,.,17,S-consinee_name
Invoice,O,"[503, 305, 563, 317]",5183,ltd,17,S-consinee_name
No,O,"[567, 305, 587, 317]",1054,r,8,S-consignee_address
.:,O,"[590, 305, 600, 317]",2480,##z,-100,O
12-08-02,S-performa_invoice_no,"[607, 305, 676, 317]",1011,-,8,S-consignee_address
Date,O,"[503, 323, 541, 333]",1038,b,8,S-consignee_address
:,O,"[541, 323, 546, 333]",1011,-,8,S-consignee_address
2012-08-22,S-invoice_date,"[563, 323, 656, 333]",2321,15,8,S-consignee_address
Product,O,"[283, 427, 340, 440]",1010,",",8,S-consignee_address
Description,O,"[343, 427, 426, 440]",4133,sit,8,S-consignee_address
2,S-goods_description,"[313, 464, 320, 475]",2050,##a,-100,O
layers,S-goods_description,"[323, 463, 367, 473]",16405,pu,8,S-consignee_address
PCB,S-goods_description,"[372, 463, 402, 473]",3089,##ri,-100,O
2,O,"[312, 497, 320, 508]",6698,extent,8,S-consignee_address
layers,O,"[323, 496, 367, 507]",3258,##ion,-100,O
PCB,O,"[370, 496, 402, 507]",2112,part,8,S-consignee_address
Quantity,O,"[463, 429, 526, 440]",1011,-,8,S-consignee_address
Unit,O,"[552, 429, 583, 440]",1015,1,8,S-consignee_address
price,O,"[588, 429, 624, 440]",1010,",",8,S-consignee_address
20,O,"[453, 465, 468, 472]",2379,near,8,S-consignee_address
PCS,O,"[473, 465, 503, 472]",4830,da,8,S-consignee_address
30000,O,"[453, 498, 491, 507]",23736,##bri,-100,O
PCS,O,"[496, 498, 526, 505]",5549,mode,8,S-consignee_address
Total,O,"[65, 535, 107, 549]",2047,new,8,S-consignee_address
cost,O,"[112, 535, 144, 549]",6768,delhi,8,S-consignee_address
:,O,"[149, 535, 154, 549]",1011,-,8,S-consignee_address
US,O,"[159, 535, 181, 549]",22096,1100,8,S-consignee_address
Doller,O,"[186, 536, 238, 551]",19961,##45,-100,O
Two,S-total_amount_in_words,"[241, 536, 275, 551]",2634,india,8,S-consignee_address
Thousand,S-total_amount_in_words,"[281, 536, 360, 553]",1012,.,8,S-consignee_address
Six,S-total_amount_in_words,"[369, 538, 392, 552]",7026,telephone,34,O
Hundred,S-total_amount_in_words,"[397, 538, 469, 554]",1024,:,34,O
Only,O,"[474, 539, 513, 553]",6205,91,34,O
.,O,"[513, 539, 518, 553]",1011,-,-100,O
(,O,"[523, 539, 531, 553]",5818,98,-100,O
USD2600,S-total_amount_in_numeric,"[530, 539, 604, 555]",14526,##11,-100,O
),S-total_amount_in_numeric,"[604, 540, 610, 554]",18139,##48,-100,O
Payment,O,"[65, 572, 137, 584]",16086,##60,-100,O
Term,O,"[140, 572, 181, 584]",24087,##55,-100,O
:,O,"[184, 572, 189, 584]",1059,w,34,O
100,S-payment_terms,"[196, 572, 223, 584]",2213,##m,-100,O
%,S-payment_terms,"[224, 572, 239, 584]",24096,##01,-100,O
T,S-payment_terms,"[246, 572, 256, 584]",2575,##6,-100,O
/,S-payment_terms,"[258, 572, 265, 584]",2475,##2,-100,O
T,S-payment_terms,"[265, 572, 275, 584]",2050,##a,-100,O
in,S-payment_terms,"[281, 572, 295, 584]",1011,-,34,O
advance,S-payment_terms,"[302, 573, 369, 585]",6522,hp,34,O
Delivery,O,"[65, 589, 134, 604]",2361,##p,-100,O
time,O,"[137, 590, 172, 604]",16216,ge,34,O
:,S-terms_of_delivery,"[179, 591, 184, 604]",3089,##ri,-100,O
7,S-terms_of_delivery,"[187, 591, 196, 604]",11268,prof,34,O
days,S-terms_of_delivery,"[203, 591, 238, 604]",2953,##or,-100,O
after,S-terms_of_delivery,"[244, 591, 283, 605]",2863,##ma,-100,O
get,S-terms_of_delivery,"[288, 592, 312, 605]",1999,in,34,O
the,S-terms_of_delivery,"[317, 592, 342, 605]",6767,##vo,-100,O
payment,S-terms_of_delivery,"[348, 592, 419, 608]",6610,##ice,-100,O
$,O,"[558, 500, 567, 507]",1059,w,34,O
0.08,O,"[570, 497, 597, 505]",2213,##m,-100,O
For,O,"[265, 858, 291, 872]",1011,-,34,O
Winner,S-diclaration_by,"[296, 858, 348, 872]",5840,04,34,O
Device,S-diclaration_by,"[354, 858, 404, 872]",16703,##32,-100,O
&,S-diclaration_by,"[409, 858, 421, 872]",2004,as,34,O
Display,S-diclaration_by,"[424, 858, 479, 872]",2094,##d,-100,O
Pvt,S-diclaration_by,"[484, 858, 508, 872]",1012,.,34,O
.,S-diclaration_by,"[508, 858, 513, 872]",7473,pc,34,O
Ltd.,S-diclaration_by,"[516, 858, 545, 872]",2497,##b,-100,O
Pritam,S-signed_by,"[308, 880, 394, 899]",2344,order,34,O
Kemal,S-signed_by,"[416, 880, 513, 899]",2053,no,34,O
Tooling,O,"[652, 421, 706, 435]",1012,.,34,O
/,O,"[704, 422, 713, 434]",1024,:,-100,O
Testing,O,"[711, 422, 761, 437]",23776,pow,4,S-purchase_order_no_and_agreement_ref_no
Director,O,"[471, 902, 543, 915]",14141,##dd,-100,O
cost,O,"[652, 441, 679, 447]",16932,##14,-100,O
$,O,"[652, 466, 661, 473]",2692,##0,-100,O
200,O,"[662, 466, 686, 473]",2620,##8,-100,O
Feiya,O,"[488, 646, 530, 659]",11387,##20,-100,O
Electronic,O,"[536, 646, 617, 660]",12521,##12,-100,O
Corporation,O,"[624, 646, 723, 661]",1011,-,-100,O
Limited,O,"[731, 647, 791, 660]",4002,00,-100,O
Please,O,"[63, 712, 104, 722]",2509,##3,-100,O
send,O,"[109, 712, 137, 722]",1013,/,4,S-purchase_order_no_and_agreement_ref_no
the,O,"[142, 712, 162, 722]",23776,pow,4,S-purchase_order_no_and_agreement_ref_no
payment,O,"[167, 712, 224, 724]",2213,##m,-100,O
to,O,"[231, 713, 241, 723]",24096,##01,-100,O
the,O,"[248, 713, 266, 723]",2575,##6,-100,O
following,O,"[271, 713, 333, 725]",2475,##2,-100,O
our,O,"[338, 714, 362, 724]",1999,in,34,O
bank,O,"[367, 714, 397, 725]",6767,##vo,-100,O
account,O,"[404, 716, 456, 725]",6610,##ice,-100,O
:,O,"[458, 716, 461, 725]",2053,no,34,O
Business,O,"[85, 731, 140, 741]",1012,.,34,O
Vantage,O,"[144, 731, 199, 741]",1024,:,-100,O
Account,O,"[203, 731, 256, 742]",2260,12,9,S-performa_invoice_no
Name,O,"[261, 732, 303, 742]",1011,-,-100,O
:,O,"[307, 732, 310, 742]",5511,08,-100,O
FEIYA,O,"[330, 732, 374, 743]",1011,-,-100,O
ELECTRONIC,O,"[390, 732, 493, 744]",6185,02,-100,O
CORPORATION,O,"[511, 733, 627, 745]",3058,date,34,O
LIMITED,O,"[645, 736, 714, 747]",1024,:,34,O
Business,O,"[85, 748, 140, 758]",2262,2012,54,S-invoice_date
Vantage,O,"[144, 748, 199, 758]",1011,-,-100,O
Account,O,"[204, 748, 258, 760]",5511,08,-100,O
Number,O,"[265, 749, 317, 760]",1011,-,-100,O
:,O,"[325, 749, 327, 760]",2570,22,-100,O
168744068838,O,"[333, 749, 427, 762]",4031,product,34,O
Beneficiary,O,"[85, 763, 161, 776]",6412,description,34,O
Bank,O,"[166, 764, 199, 776]",1016,2,27,S-goods_description
Name,O,"[206, 766, 241, 776]",9014,layers,27,S-goods_description
:,O,"[248, 766, 250, 776]",7473,pc,27,S-goods_description
HSBC,S-beneficiary_bank,"[258, 766, 298, 776]",2497,##b,-100,O
Hong,S-beneficiary_bank,"[305, 767, 340, 777]",1016,2,34,O
Kong,S-beneficiary_bank,"[345, 767, 380, 777]",9014,layers,34,O
Beneficiary,O,"[85, 781, 161, 793]",7473,pc,34,O
Bank,O,"[166, 782, 196, 793]",2497,##b,-100,O
Address,O,"[203, 783, 256, 794]",11712,quantity,34,O
:,O,"[260, 783, 261, 793]",3131,unit,34,O
1,S-beneficiary_bank_address,"[270, 783, 273, 793]",3976,price,34,O
Queen's,S-beneficiary_bank_address,"[280, 783, 332, 794]",2322,20,34,O
Road,S-beneficiary_bank_address,"[338, 785, 374, 794]",27019,pcs,34,O
Central,S-beneficiary_bank_address,"[379, 785, 427, 795]",11910,3000,34,O
",",S-beneficiary_bank_address,"[431, 786, 434, 795]",2692,##0,-100,O
Hong,S-beneficiary_bank_address,"[437, 786, 473, 795]",27019,pcs,34,O
Kong,S-beneficiary_bank_address,"[479, 786, 513, 796]",2561,total,34,O
Beneficiary,O,"[85, 800, 159, 809]",3465,cost,34,O
Bank,O,"[162, 800, 199, 809]",1024,:,34,O
Code,O,"[203, 800, 238, 809]",2149,us,34,O
:,O,"[243, 800, 248, 809]",10658,doll,34,O
004,O,"[253, 800, 275, 809]",2121,##er,-100,O
SWIFT,O,"[83, 817, 130, 826]",2048,two,0,S-total_amount_in_words
Address,O,"[137, 817, 189, 826]",4595,thousand,0,S-total_amount_in_words
:,O,"[194, 817, 199, 826]",2416,six,0,S-total_amount_in_words
HSBCHKHHHKH,S-beneficiary_bank_swift,"[204, 817, 332, 828]",3634,hundred,0,S-total_amount_in_words
Currency,O,"[83, 844, 154, 855]",2069,only,34,O
:,O,"[162, 844, 172, 855]",1012,.,34,O
USD,S-currency_in_numeric,"[184, 844, 218, 855]",1006,(,34,O
Jeremy,O,"[610, 681, 669, 694]",13751,usd,36,S-total_amount_in_numeric
Amount,O,"[807, 426, 864, 433]",23833,##26,-100,O
cost,O,"[822, 444, 850, 450]",8889,##00,-100,O
$,O,"[780, 467, 788, 475]",1007,),36,S-total_amount_in_numeric
200,O,"[790, 467, 813, 475]",7909,payment,34,O
$,O,"[780, 502, 788, 509]",2744,term,34,O
2400,O,"[790, 502, 823, 509]",1024,:,34,O
For,O,"[644, 830, 671, 845]",2531,100,60,S-payment_terms
Winner,S-diclaration_by,"[674, 832, 728, 849]",1003,%,60,S-payment_terms
Device,S-diclaration_by,"[733, 836, 781, 853]",1056,t,60,S-payment_terms
&,S-signed_by,"[785, 839, 798, 853]",1013,/,60,S-payment_terms
Display,S-signed_by,"[798, 840, 857, 858]",1056,t,60,S-payment_terms
Pvt,S-signed_by,"[860, 844, 890, 861]",1999,in,60,S-payment_terms
.,S-signed_by,"[882, 846, 890, 859]",5083,advance,60,S-payment_terms
Ltd.,S-signed_by,"[892, 846, 924, 863]",6959,delivery,34,O
bam,S-signed_by,"[822, 864, 862, 881]",2051,time,34,O
Director,S-signed_by,"[840, 885, 916, 906]",1024,:,3,S-terms_of_delivery
 , , ,1021,7,3,S-terms_of_delivery
 , , ,2420,days,3,S-terms_of_delivery
 , , ,2044,after,3,S-terms_of_delivery
 , , ,2131,get,3,S-terms_of_delivery
 , , ,1996,the,3,S-terms_of_delivery
 , , ,7909,payment,3,S-terms_of_delivery
 , , ,1002,$,34,O
 , , ,1014,0,34,O
 , , ,1012,.,-100,O
 , , ,5511,08,-100,O
 , , ,2005,for,34,O
 , , ,3453,winner,56,S-diclaration_by
 , , ,5080,device,56,S-diclaration_by
 , , ,1004,&,56,S-diclaration_by
 , , ,4653,display,56,S-diclaration_by
 , , ,26189,pv,56,S-diclaration_by
 , , ,2102,##t,-100,O
 , , ,1012,.,56,S-diclaration_by
 , , ,5183,ltd,56,S-diclaration_by
 , , ,1012,.,-100,O
 , , ,26927,pri,15,S-signed_by
 , , ,15464,##tam,-100,O
 , , ,17710,ke,15,S-signed_by
 , , ,9067,##mal,-100,O
 , , ,6994,tool,34,O
 , , ,2075,##ing,-100,O
 , , ,1013,/,34,O
 , , ,5604,testing,34,O
 , , ,2472,director,34,O
 , , ,3465,cost,34,O
 , , ,1002,$,34,O
 , , ,3263,200,34,O
 , , ,24664,fei,34,O
 , , ,3148,##ya,-100,O
 , , ,4816,electronic,34,O
 , , ,3840,corporation,34,O
 , , ,3132,limited,34,O
 , , ,3531,please,34,O
 , , ,4604,send,34,O
 , , ,1996,the,34,O
 , , ,7909,payment,34,O
 , , ,2000,to,34,O
 , , ,1996,the,34,O
 , , ,2206,following,34,O
 , , ,2256,our,34,O
 , , ,2924,bank,34,O
 , , ,4070,account,34,O
 , , ,1024,:,34,O
 , , ,2449,business,34,O
 , , ,27274,vantage,34,O
 , , ,4070,account,34,O
 , , ,2171,name,34,O
 , , ,1024,:,34,O
 , , ,24664,fei,34,O
 , , ,3148,##ya,-100,O
 , , ,4816,electronic,34,O
 , , ,3840,corporation,34,O
 , , ,3132,limited,34,O
 , , ,2449,business,34,O
 , , ,27274,vantage,34,O
 , , ,4070,account,34,O
 , , ,2193,number,34,O
 , , ,1024,:,34,O
 , , ,16923,168,34,O
 , , ,2581,##7,-100,O
 , , ,22932,##44,-100,O
 , , ,2692,##0,-100,O
 , , ,2575,##6,-100,O
 , , ,2620,##8,-100,O
 , , ,2620,##8,-100,O
 , , ,22025,##38,-100,O
 , , ,3841,ben,34,O
 , , ,12879,##ef,-100,O
 , , ,24108,##icia,-100,O
 , , ,2854,##ry,-100,O
 , , ,2924,bank,34,O
 , , ,2171,name,34,O
 , , ,1024,:,34,O
 , , ,26236,hs,53,S-beneficiary_bank
 , , ,9818,##bc,-100,O
 , , ,4291,hong,53,S-beneficiary_bank
 , , ,4290,kong,53,S-beneficiary_bank
 , , ,3841,ben,34,O
 , , ,12879,##ef,-100,O
 , , ,24108,##icia,-100,O
 , , ,2854,##ry,-100,O
 , , ,2924,bank,34,O
 , , ,4769,address,34,O
 , , ,1024,:,34,O
 , , ,1015,1,21,S-beneficiary_bank_address
 , , ,3035,queen,21,S-beneficiary_bank_address
 , , ,1005,',-100,O
 , , ,1055,s,-100,O
 , , ,2346,road,21,S-beneficiary_bank_address
 , , ,2430,central,21,S-beneficiary_bank_address
 , , ,1010,",",21,S-beneficiary_bank_address
 , , ,4291,hong,21,S-beneficiary_bank_address
 , , ,4290,kong,21,S-beneficiary_bank_address
 , , ,3841,ben,34,O
 , , ,12879,##ef,-100,O
 , , ,24108,##icia,-100,O
 , , ,2854,##ry,-100,O
 , , ,2924,bank,34,O
 , , ,3642,code,34,O
 , , ,1024,:,34,O
 , , ,4002,00,34,O
 , , ,2549,##4,-100,O
 , , ,9170,swift,34,O
 , , ,4769,address,34,O
 , , ,1024,:,34,O
 , , ,26236,hs,44,S-beneficiary_bank_swift
 , , ,9818,##bc,-100,O
 , , ,2232,##h,-100,O
 , , ,10023,##kh,-100,O
 , , ,23644,##hh,-100,O
 , , ,10023,##kh,-100,O
 , , ,9598,currency,34,O
 , , ,1024,:,34,O
 , , ,13751,usd,22,S-currency_in_numeric
 , , ,7441,jeremy,34,O
 , , ,3815,amount,34,O
 , , ,3465,cost,34,O
 , , ,1002,$,34,O
 , , ,3263,200,34,O
 , , ,1002,$,34,O
 , , ,11212,240,34,O
 , , ,2692,##0,-100,O
 , , ,2005,for,34,O
 , , ,3453,winner,56,S-diclaration_by
 , , ,5080,device,56,S-diclaration_by
 , , ,1004,&,15,S-signed_by
 , , ,4653,display,15,S-signed_by
 , , ,26189,pv,15,S-signed_by
 , , ,2102,##t,-100,O
 , , ,1012,.,15,S-signed_by
 , , ,5183,ltd,15,S-signed_by
 , , ,1012,.,-100,O
 , , ,25307,bam,15,S-signed_by
 , , ,2472,director,15,S-signed_by
 , , ,102,[SEP],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
